mileage,make,fuel,gear,offerType,price,hp,year
12178,Audi,Gasoline,Manual,Used,27440,150.0,2019
41365,Volkswagen,Diesel,Automatic,Used,27490,190.0,2019
31900,Mercedes-Benz,Diesel,Automatic,Used,27600,163.0,2019
45700,Audi,Diesel,Automatic,Used,27980,150.0,2019
9243,SEAT,Gasoline,Automatic,Used,28250,150.0,2019
8650,Ford,Diesel,Automatic,Employee's car,28980,179.0,2019
17615,Skoda,Gasoline,Automatic,Demonstration,28990,150.0,2019
4016,Mercedes-Benz,Gasoline,Automatic,Used,29111,211.0,2019
9290,Ford,Diesel,Automatic,Employee's car,29980,179.0,2019
8650,Ford,Diesel,Automatic,Employee's car,29980,179.0,2019
22900,SEAT,Gasoline,Automatic,Used,29990,150.0,2019
2955,Audi,Diesel,Automatic,Used,29994,150.0,2019
1060,Ford,Diesel,Manual,Used,30452,131.0,2019
27500,BMW,Diesel,Automatic,Used,30675,190.0,2019
23490,Audi,Hybrid,Automatic,Used,59440,367.0,2020
19000,Audi,Hybrid,Automatic,Demonstration,59850,367.0,2020
31420,Audi,Gasoline,Automatic,Used,59985,400.0,2020
23402,Audi,Gasoline,Automatic,Used,64885,400.0,2020
3850,Jaguar,Gasoline,Automatic,Used,64900,381.0,2020
11650,Audi,Gasoline,Automatic,Used,65890,400.0,2020
11100,Porsche,Gasoline,Automatic,Used,65900,245.0,2020
25300,Volkswagen,Diesel,Automatic,Used,66740,286.0,2020
23490,Audi,Diesel,Automatic,Used,66790,347.0,2020
999,Audi,Hybrid,Automatic,Used,66890,367.0,2020
22500,Audi,Diesel,Automatic,Demonstration,67840,347.0,2020
8200,Audi,Diesel,Automatic,Used,69890,286.0,2020
11700,Audi,Gasoline,Automatic,Used,69890,400.0,2020
18150,Audi,Diesel,Automatic,Demonstration,69980,347.0,2020
19950,Volkswagen,Diesel,Automatic,Used,70980,150.0,2020
16800,Audi,Diesel,Automatic,Used,81890,286.0,2020
41100,Audi,Diesel,Automatic,Used,81890,286.0,2020
29150,Audi,Gasoline,Automatic,Used,81890,340.0,2020
28400,Audi,Diesel,Automatic,Used,83890,286.0,2020
100,Fiat,Gasoline,Manual,Pre-registered,10600,69.0,2021
15,Fiat,Hybrid,Manual,Pre-registered,10680,69.0,2021
20,Toyota,Gasoline,Manual,Pre-registered,10823,72.0,2021
15,Fiat,Hybrid,Manual,Pre-registered,10980,69.0,2021
10,Toyota,Gasoline,Manual,Pre-registered,10997,72.0,2021
9,Toyota,Gasoline,Manual,Pre-registered,11490,72.0,2021
100,Hyundai,Gasoline,Manual,Pre-registered,11499,67.0,2021
